epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.920292,0.3275,1.679057,0.419006,0.001,23.4153
2,1.590394,0.451667,1.402589,0.559395,0.001,19.8214
3,1.356047,0.54,1.37088,0.50108,0.001,3.2431
4,1.221664,0.61,1.256754,0.559395,0.001,2.6601
5,1.046831,0.6775,1.222537,0.576674,0.001,2.5222
6,0.959988,0.690833,1.417408,0.516199,0.001,2.2113
7,0.864478,0.725833,1.293798,0.559395,0.001,2.3934
8,0.739087,0.788333,1.224482,0.548596,0.0005,2.2633
9,0.628619,0.823333,1.155238,0.598272,0.0005,2.3846
10,0.559309,0.859167,1.359937,0.561555,0.0005,2.6935
11,0.517606,0.866667,1.080105,0.639309,0.0005,2.5828
12,0.518709,0.855833,1.092681,0.62851,0.0005,2.222
