epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.995839,0.283333,1.875844,0.289417,0.001,37.9888
2,1.572754,0.5075,1.605379,0.451404,0.001,19.9362
3,1.205176,0.65,1.469134,0.485961,0.001,2.4879
4,0.948365,0.745,1.465455,0.548596,0.001,2.4982
5,0.703909,0.833333,1.475159,0.5054,0.001,3.1536
6,0.525761,0.895,1.562023,0.468683,0.001,2.6047
7,0.396827,0.933333,1.429888,0.542117,0.001,2.423
8,0.313095,0.953333,1.346692,0.580994,0.001,2.3228
9,0.220031,0.968333,1.823292,0.477322,0.001,2.4491
10,0.183093,0.979167,1.527763,0.550756,0.001,2.4737
11,0.144465,0.983333,2.044982,0.526998,0.0005,2.9748
12,0.10703,0.990833,1.924404,0.49676,0.0005,2.5366
